ID	LENGTH	OVERLAP	ERROR	PVALUE
ERR346600.127	395	107	0.0093	1.1102e-16
ERR346600.128	389	113	0.0088	1.1102e-16
ERR346600.131	401	101	0.0198	1.1102e-16
ERR346600.129	389	113	0.4425	2.0852e-12
ERR346600.132	398	104	0.0000	1.1102e-16
ERR346600.130	392	110	0.0000	1.1102e-16
ERR346600.133	392	110	0.0000	1.1102e-16
ERR346600.135	339	163	0.6380	7.6071e-04
ERR346600.137	410	92	0.0109	1.1102e-16
ERR346600.134	395	107	0.0093	1.1102e-16
ERR346600.138	398	104	0.0096	1.1102e-16
ERR346600.139	398	104	0.0096	1.1102e-16
ERR346600.136	398	104	0.0000	1.1102e-16
ERR346600.141	407	95	0.0000	1.1102e-16
ERR346600.142	401	101	0.0198	1.1102e-16
ERR346600.140	410	92	0.0217	1.1102e-16
ERR346600.143	392	110	0.0364	1.1102e-16
ERR346600.144	395	107	0.0374	1.1102e-16
ERR346600.145	395	107	0.2617	1.1102e-16
ERR346600.148	398	104	0.0288	1.1102e-16
ERR346600.149	380	122	0.0246	1.1102e-16
ERR346600.146	395	107	0.0187	1.1102e-16
ERR346600.147	389	113	0.0265	1.1102e-16
ERR346600.151	389	113	0.0000	1.1102e-16
ERR346600.150	398	104	0.0000	1.1102e-16
ERR346600.154	386	116	0.0000	1.1102e-16
ERR346600.152	389	113	0.0619	1.1102e-16
ERR346600.155	404	98	0.0204	1.1102e-16
ERR346600.153	398	104	0.0000	1.1102e-16
ERR346600.156	386	116	0.0000	1.1102e-16
ERR346600.157	395	107	0.0000	1.1102e-16
ERR346600.158	401	101	0.0396	1.1102e-16
ERR346600.160	395	107	0.0093	1.1102e-16
ERR346600.161	389	113	0.0265	1.1102e-16
ERR346600.159	398	104	0.0288	1.1102e-16
ERR346600.162	401	101	0.0000	1.1102e-16
ERR346600.163	398	104	0.0288	1.1102e-16
ERR346600.164	389	113	0.0177	1.1102e-16
ERR346600.166	386	116	0.0000	1.1102e-16
ERR346600.167	389	113	0.0354	1.1102e-16
ERR346600.168	401	101	0.0000	1.1102e-16
ERR346600.165	395	107	0.0374	1.1102e-16
ERR346600.169	407	95	0.0211	1.1102e-16
ERR346600.171	389	113	0.0265	1.1102e-16
ERR346600.172	404	98	0.0102	1.1102e-16
ERR346600.173	398	104	0.0288	1.1102e-16
ERR346600.170	404	98	0.0204	1.1102e-16
ERR346600.174	407	95	0.0526	1.1102e-16
ERR346600.176	392	110	0.0273	1.1102e-16
ERR346600.177	389	113	0.0000	1.1102e-16
ERR346600.175	392	110	0.0182	1.1102e-16
ERR346600.179	400	102	0.0000	1.1102e-16
ERR346600.178	398	104	0.0288	1.1102e-16
ERR346600.180	398	104	0.0096	1.1102e-16
ERR346600.182	392	110	0.0182	1.1102e-16
ERR346600.183	383	119	0.0756	1.1102e-16
ERR346600.184	383	119	0.0084	1.1102e-16
ERR346600.185	395	107	0.0374	1.1102e-16
ERR346600.181	404	98	0.0000	1.1102e-16
ERR346600.186	395	107	0.0280	1.1102e-16
ERR346600.188	392	110	0.0000	1.1102e-16
ERR346600.190	404	98	0.0408	1.1102e-16
ERR346600.187	398	104	0.0000	1.1102e-16
ERR346600.189	383	119	0.0252	1.1102e-16
ERR346600.191	407	95	0.0421	1.1102e-16
ERR346600.192	383	119	0.5714	1.1328e-05
ERR346600.194	398	104	0.0481	1.1102e-16
ERR346600.193	406	96	0.0208	1.1102e-16
ERR346600.195	395	107	0.0000	1.1102e-16
ERR346600.196	401	101	0.0000	1.1102e-16
ERR346600.197	405	97	0.3402	1.0136e-16
ERR346600.199	395	107	0.0093	1.1102e-16
ERR346600.200	398	104	0.0096	1.1102e-16
ERR346600.198	404	98	0.0102	1.1102e-16
ERR346600.202	404	98	0.0000	1.1102e-16
ERR346600.201	398	104	0.0192	1.1102e-16
ERR346600.203	398	104	0.0096	1.1102e-16
ERR346600.206	398	104	0.0288	1.1102e-16
ERR346600.204	389	113	0.0265	1.1102e-16
ERR346600.208	386	116	0.0000	1.1102e-16
ERR346600.205	392	110	0.0091	1.1102e-16
ERR346600.209	395	107	0.0280	1.1102e-16
ERR346600.207	383	119	0.2857	1.1102e-16
ERR346600.210	398	104	0.0000	1.1102e-16
ERR346600.211	398	104	0.0288	1.1102e-16
ERR346600.212	395	107	0.0280	1.1102e-16
ERR346600.213	398	104	0.0192	1.1102e-16
ERR346600.214	395	107	0.0187	1.1102e-16
ERR346600.216	395	107	0.0561	1.1102e-16
ERR346600.217	395	107	0.0000	1.1102e-16
ERR346600.218	401	101	0.0198	1.1102e-16
ERR346600.215	401	101	0.0594	1.1102e-16
ERR346600.220	404	98	0.0000	1.1102e-16
ERR346600.221	407	95	0.0737	1.1102e-16
ERR346600.219	395	107	0.0280	1.1102e-16
ERR346600.223	397	105	0.0857	1.1102e-16
ERR346600.224	401	101	0.0198	1.1102e-16
ERR346600.222	398	104	0.0000	1.1102e-16
ERR346600.225	395	107	0.0000	1.1102e-16
ERR346600.226	389	113	0.0177	1.1102e-16
ERR346600.229	395	107	0.0187	1.1102e-16
ERR346600.230	401	101	0.0693	1.1102e-16
ERR346600.228	407	95	0.0526	1.1102e-16
ERR346600.227	401	101	0.1980	1.1102e-16
ERR346600.232	398	104	0.0096	1.1102e-16
ERR346600.231	398	104	0.0385	1.1102e-16
ERR346600.235	407	95	0.0947	1.1102e-16
ERR346600.234	392	110	0.0000	1.1102e-16
ERR346600.233	398	104	0.0673	1.1102e-16
ERR346600.237	407	95	0.1474	1.1102e-16
ERR346600.238	413	89	0.0449	1.1102e-16
ERR346600.236	398	104	0.0288	1.1102e-16
ERR346600.240	398	104	0.0192	1.1102e-16
ERR346600.241	401	101	0.0198	1.1102e-16
ERR346600.239	398	104	0.1058	1.1102e-16
ERR346600.243	398	104	0.0096	1.1102e-16
ERR346600.242	398	104	0.0192	1.1102e-16
ERR346600.244	398	104	0.0000	1.1102e-16
ERR346600.246	394	108	0.0000	1.1102e-16
ERR346600.248	410	92	0.0870	1.1102e-16
ERR346600.245	398	104	0.0096	1.1102e-16
ERR346600.249	401	101	0.0099	1.1102e-16
ERR346600.247	407	95	0.0316	1.1102e-16
ERR346600.250	398	104	0.0385	1.1102e-16
ERR346600.252	404	98	0.0000	1.1102e-16
ERR346600.251	410	92	0.1957	1.1102e-16
ERR346600.253	398	104	0.0481	1.1102e-16
ERR346600.255	395	107	0.0187	1.1102e-16
ERR346600.254	389	113	0.0088	1.1102e-16
ERR346600.256	410	92	0.0652	1.1102e-16
ERR346600.257	392	110	0.0091	1.1102e-16
ERR346600.258	389	113	0.0088	1.1102e-16
ERR346600.261	401	101	0.0000	1.1102e-16
ERR346600.262	392	110	0.0000	1.1102e-16
ERR346600.260	404	98	0.0000	1.1102e-16
ERR346600.259	392	110	0.0091	1.1102e-16
ERR346600.263	380	122	0.0000	1.1102e-16
ERR346600.266	386	116	0.0172	1.1102e-16
ERR346600.267	395	107	0.0280	1.1102e-16
ERR346600.264	398	104	0.0000	1.1102e-16
ERR346600.268	406	96	0.0104	1.1102e-16
ERR346600.269	392	110	0.0000	1.1102e-16
